inpNum,repNum,Vf_IQR,Vf_Mdn,nFC,nMRC,FCp,MRCp,av_FCa,av_MRCa,max_FC,max_MRC,Stiffness,Strength
668,24,0.274732698856236,0.595894479042176,0.0072463768115942,0.0181159420289855,0.113195571475394,0.546059655491329,646.46587617449,1247.4301919399,1205.27381312785,4350.75197511751,12313.8951418593,54.6531226132152
669,4,0.188304572658943,0.705316689327552,0.0100250626566416,0.012531328320802,0.340538082221112,0.324976763597507,1076.77633558398,822.05734260113,2489.48289582544,3836.08281339606,15261.2958222913,49.4465984642237
670,17,0.293400334992498,0.567535081650046,0.0107142857142857,0.025,0.0341224062765279,0.550805325992157,134.127762546343,927.898293680377,217.026200618609,3748.72500350332,12149.7294316913,49.5708960813004
671,43,0.279299278177919,0.596025583381127,0.0174216027874564,0.00696864111498258,0.0708196744929318,0.560913982883406,166.384576233496,3294.5447721174,441.754088119858,6555.9903298193,12580.5642793587,45.2900314056914
672,33,0.247218128806378,0.672842706185008,0.0138504155124654,0.00277008310249307,0.271216296501291,0.4987637680553,715.412581268829,6578.17910189832,2316.53367387457,6578.17910189832,13417.2685708797,45.082022398156
673,14,0.368162599322559,0.505845085994152,0.00719424460431655,0.0107913669064748,0.00890072551237732,0.692793508484051,68.4457372070586,3551.67769597472,79.8077632902911,9627.59176222611,10607.6138274721,53.4581097486103
674,4,0.241630766473302,0.67641392056843,0.0084985835694051,0.0113314447592068,0.236289724462688,0.466366358553457,1059.28952503233,1568.04427139136,2702.59681399465,4392.81057004035,13706.7223191164,49.3442003488191
675,36,0.248154631147953,0.654112466174512,0.0257879656160458,0.0200573065902579,0.156101156447708,0.522058469151081,232.136398254222,998.16131976939,725.381558246784,6042.39067486533,13075.7770210336,50.210983760769
676,34,0.189066538345597,0.728004327122564,0.012531328320802,0.0100250626566416,0.41952736043778,0.384915951137978,1084.15227623566,1243.38584302997,2240.61737409824,3919.30420726425,14891.5272401918,44.6745817205754
677,11,0.24917674497178,0.636682226946127,0.0158227848101266,0.00949367088607595,0.176634721607264,0.531828305045273,424.861203887822,2132.0196079148,1200.04071157592,5748.03647982593,13488.4437437897,50.1770107268975
678,41,0.272354465131263,0.638850030995256,0.0152439024390244,0.024390243902439,0.207053878625217,0.522441158726319,528.105616562082,832.827040232538,860.961114803495,6271.61270064989,13316.1896019715,46.3403398148609
679,12,0.239779510050227,0.655686911003819,0.00854700854700855,0.0142450142450142,0.225714841132721,0.529723674860996,951.251571503482,1339.47898767851,2481.29903713318,3878.74443911504,13548.0747264869,52.0246069497097
680,15,0.225860407978097,0.687354588304217,0.0112676056338028,0.0169014084507042,0.310418124818812,0.425746116226231,932.283963875356,852.43363731119,2794.15938637734,4831.11358948289,14051.5121162273,43.8407178026291
681,48,0.186196073558675,0.692766043020735,0.0150375939849624,0.0150375939849624,0.348902664405377,0.342042710043188,717.764188819802,703.651858704728,3775.19334068048,3926.45291490324,15140.9991239974,54.5075968463906
682,15,0.219748871541849,0.688165179139912,0.0197183098591549,0.0197183098591549,0.274444460731047,0.429344725170691,463.584696136483,725.238335748784,1608.50838152114,3686.99169622826,14414.2714125047,53.6210896545176
683,24,0.293569792204202,0.595883104102744,0.012779552715655,0.0159744408945687,0.0806073976607014,0.576018722071595,272.063709389223,1555.32911124698,410.001936053039,6636.23168094596,12469.1003051479,49.3776372083856
684,13,0.219693461058379,0.701875206586157,0.011142061281337,0.0167130919220056,0.384139474738665,0.394647439943793,1112.4456770117,761.917423886866,2943.83088588692,2103.74392028876,14962.2861609323,52.0687558400445
685,15,0.217529327851089,0.686503898723547,0.00831024930747922,0.00831024930747922,0.358815658538936,0.40147677573611,1479.49600968671,1655.39957230993,1954.04294957963,4743.86063974474,14870.2080134328,46.3950490019103
686,3,0.251753717594437,0.631213260729393,0.0157728706624606,0.0220820189274448,0.15533199693246,0.54477363732361,374.648083305388,938.535354177722,1001.52594150617,6009.21047541597,13161.5103318323,53.6989621538756
687,39,0.237590896424206,0.680590787964821,0.00837988826815642,0.00837988826815642,0.262536666676528,0.463784756541934,1149.24455621033,2030.2006323782,3274.33700506618,5847.52379850919,14286.7800554743,51.4324081997075
688,47,0.214107216330895,0.700047234609881,0.010958904109589,0.00547945205479452,0.36645417102349,0.420369629478704,1132.59904397648,2598.47084908093,1913.38256103013,5038.23275646003,14426.8141207138,48.4740954455982
689,26,0.332779386759005,0.577315129238195,0.0198412698412698,0.0198412698412698,0.0737669174138109,0.572337590625115,165.353950656153,1282.93664744039,421.905003613822,5217.46233832869,11911.9246459998,51.4595144707192
690,47,0.196142999462048,0.713907299309432,0.0126582278481013,0.0177215189873418,0.388924915534485,0.292454295597244,907.531067251962,487.44509434799,3131.04751663023,1323.5720849591,15771.4769290433,49.2070080186151
691,26,0.195465980242721,0.7242582683309,0.010126582278481,0.010126582278481,0.449636493077626,0.353179165219007,1351.12944444525,1061.28122747726,2528.3646386927,4093.7746587608,15255.4500026811,49.4186650861952
692,30,0.190552191213761,0.693421258018719,0.00831024930747922,0.0138504155124654,0.36838732872655,0.326666389197805,1384.4724519359,736.606145028577,1885.67174548532,3024.91815920886,15496.1966267088,53.9267642609466
693,18,0.258649825410599,0.648556550215249,0.0260115606936416,0.0173410404624277,0.139769042133899,0.47996759567973,194.592572190094,1002.34781163204,712.14169956689,2975.43362054009,13450.2558374764,48.4209210149151
694,46,0.198842952909082,0.699820386112916,0.020253164556962,0.0177215189873418,0.377066573912069,0.346714606863407,607.04839017921,637.924618272939,3928.14753854638,3413.61280065121,15884.5613543886,51.4659787882192
695,28,0.208169560402633,0.683671450082993,0.0111731843575419,0.0111731843575419,0.316883671267932,0.41158569345326,967.647018372432,1256.83241260497,2771.62503519571,4407.74343741006,14952.9028252378,48.4474051537706
696,18,0.278634537199437,0.610611054472334,0.0177304964539007,0.0106382978723404,0.0809248950600273,0.529072520174311,178.779750283232,1948.05016363881,275.745860891065,5437.8739744396,12592.9642626995,57.4046440257483
698,19,0.359018404615259,0.504025286728364,0.0113207547169811,0.0113207547169811,0.029479798309379,0.67926717851472,135.916652551938,3131.7623045863,284.533974844886,4452.95124011713,10797.6479050352,45.345112981449
699,19,0.238516740025522,0.67260161277784,0.0165745856353591,0.0220994475138122,0.247022797609244,0.456668108456506,537.408890890743,745.126069474165,1303.32408944645,5541.14624306696,14034.0093189174,47.1542713115623
700,47,0.297545761982717,0.544999091245013,0.00348432055749129,0.00696864111498258,0.0192648967112488,0.63966769914647,253.88235640192,4214.92897697902,253.88235640192,8335.46254619106,11784.6666503961,49.4771000724642
701,46,0.185209645580864,0.694096499526364,0.0248618784530387,0.0165745856353591,0.308611414586126,0.340132109347198,388.343231034029,642.011261149162,1610.79808556598,3417.33193665201,15457.5898422723,46.3727695268169
702,39,0.169660095118034,0.712419917878899,0.00506329113924051,0.0177215189873418,0.396407348180653,0.34126038716295,2437.13529541711,599.453883053583,4797.411805111,3308.48806080827,15237.0638234237,51.1965344467035
703,50,0.320275293501564,0.564574186874677,0.0106761565836299,0.0106761565836299,0.030243654603783,0.623219600972921,129.595423849591,2670.52409497351,250.291895899043,5049.68562254032,11611.6068268922,51.5495876165095
704,38,0.217050909551665,0.684185086225249,0.014367816091954,0.014367816091954,0.311917568093496,0.386228162315329,776.306914703811,961.252663296166,3419.59898107509,2619.67782291939,14635.0157580536,49.17365294706
705,46,0.177947337659847,0.689623956948,0.0100250626566416,0.0150375939849624,0.36905153353287,0.348746783259598,1126.95161764229,709.965439929442,4200.81935866234,3906.86081569755,15937.1143869015,51.6362506135609
706,36,0.186800464787273,0.692774399807123,0.0152671755725191,0.0229007633587786,0.32039640013769,0.372018082498364,668.318542181302,517.331202750807,3621.1144890012,1932.14082070367,15085.1662011792,50.686158435962
707,14,0.238686402378083,0.680898569549778,0.0193370165745856,0.0220994475138122,0.248855380221035,0.467526756518332,463.50843136365,761.94763872148,1606.20050973096,5206.64367196591,13727.6154135282,46.1247877894549
708,30,0.270477595175625,0.57932497728633,0.0145985401459854,0.0255474452554745,0.0344543974249613,0.530108962794993,89.5925711187254,787.688381487385,126.117380523585,3743.38125812209,12873.8507275425,50.9804488810683
709,35,0.208615222779809,0.706163346472134,0.0196629213483146,0.0140449438202247,0.358551784229415,0.373536010871191,596.610804595706,870.161247861022,1517.85027127189,1930.14440167274,14650.5022763557,50.9837479217177
710,12,0.197618308680479,0.716081224521914,0.0152284263959391,0.0177664974619289,0.380486053774331,0.317522189224085,758.422727204796,542.500179840714,2329.05935853416,1440.35957928621,16171.7893712495,50.4559828382983
711,42,0.287135592799491,0.611456478476221,0.0104895104895105,0.013986013986014,0.121527874013887,0.572680306270707,507.179683014874,1792.50121768391,934.588817915763,6550.35168800532,12812.602167443,49.2003923229812
712,5,0.2605316099839,0.643772732736987,0.0219435736677116,0.00626959247648903,0.203806990079128,0.553406586363794,374.009146638201,3554.4754260064,935.442475057308,7086.82940071576,13399.1557571792,48.2287911812463
713,45,0.211866536700364,0.702690212504334,0.0101010101010101,0.0151515151515152,0.335995144883203,0.420294310909668,1119.19384476543,933.328577160528,2274.44889960532,4790.60804510677,14932.2672287731,50.1570796448863
714,11,0.314986881778638,0.548825556231426,0.0179856115107914,0.00359712230215827,0.0717112636911091,0.642196955535134,195.277007502601,8743.83557402924,659.56580210306,8743.83557402924,11391.2594400701,46.4763385154859
715,17,0.192634461800643,0.70449029628897,0.0171919770773639,0.0229226361031519,0.358832653906423,0.29411526611468,630.263575295543,387.444127128086,1633.77857436463,1206.22660265812,15723.2238462546,49.0564584003142
716,3,0.224293751510641,0.684226461305752,0.0115942028985507,0.0173913043478261,0.304716449096379,0.452114322982191,891.000536217983,881.331054719989,2880.86611444803,1612.38903832343,14700.5447566057,47.6297650114024
717,15,0.200931628181124,0.713260921896506,0.012531328320802,0.0100250626566416,0.383197260719715,0.39087503024504,1024.08956958182,1305.7603828251,3382.10518651272,5042.86712671844,14461.4845856623,46.8552100575459
718,40,0.184738775074071,0.707616293337323,0.012853470437018,0.0282776349614396,0.340172630348973,0.292657807956876,798.533555962111,312.2707002513,3185.18539112741,2425.98209264962,15415.3491507371,48.0958893502997
719,46,0.217236488442943,0.69760538376258,0.0193370165745856,0.0193370165745856,0.29786166716841,0.370298332874573,483.739708954931,601.37986023547,817.166726328421,3314.95944088296,15247.9617369432,49.4033960276961
720,37,0.207096740828223,0.685271623716032,0.00563380281690141,0.0140845070422535,0.339055122828874,0.357431032081499,1871.93729568187,789.356578959724,3313.82874800662,2005.26234195852,15394.9527953005,53.5744357276459
721,47,0.219466991498693,0.689561756612715,0.00840336134453781,0.0112044817927171,0.32751467820668,0.406844057776008,1295.27607920119,1206.75975246641,2672.0784769603,4272.33766950292,15081.3203468457,52.4753771372162
722,50,0.322925452496464,0.556712562888263,0.00754716981132075,0.0113207547169811,0.0417744075194272,0.600599528491342,251.593628182318,2411.47668202442,315.269071868879,6442.90663085307,11579.6088273432,50.0173996978539
723,44,0.248165889695965,0.649381965048049,0.021978021978022,0.00824175824175824,0.198606933277786,0.486031643505542,325.136316906749,2121.79955468119,1286.82658256924,6271.74409619788,13423.6314855888,46.714237569849
724,18,0.189166099697935,0.710747135440443,0.0128865979381443,0.0180412371134021,0.400739799753744,0.208595434703085,916.22546273487,340.656471574857,4173.7499082423,1044.26102786397,16575.9820745801,55.6862929641735
725,33,0.196166754047278,0.716904506751024,0.0075,0.02,0.397016562744707,0.327855969375307,1600.58436345022,495.660496899124,3291.57193582656,2768.8391273376,15428.4155827492,51.8394763580373
726,26,0.188242572569629,0.720328059559625,0.0103092783505155,0.0206185567010309,0.378324160932497,0.322674810876681,1115.43013340561,475.678326300479,3038.93481524915,1947.43673560969,15793.0075622298,49.2741835941571
727,47,0.191044213293835,0.715441929092589,0.00253807106598985,0.0177664974619289,0.442807318578782,0.34463201175799,5485.2967349912,609.877921277666,5485.2967349912,3461.43262601605,15806.1494102615,49.3151861600157
